"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
-4.410000000000000E+00,2.016436819732898E-01,-1.940443014995899E-01,1.443131804986089E+01,2.999999999999859E-06,3.508387379316922E-04,3.221602825296136E-06,3.591161371614485E-03,4.503966966399649E-03
-4.536000000000000E+00,1.987091683989882E-01,-1.916305355539071E-01,1.443103799208133E+01,2.999999999999859E-06,3.597028881022357E-04,3.413402047900378E-06,3.567044907951645E-03,4.474267029559201E-03
-4.662000000000000E+00,1.957746548246865E-01,-1.892167696082244E-01,1.443075793430176E+01,2.999999999999859E-06,3.701492671971134E-04,3.652467272075730E-06,3.542164802183903E-03,4.443525951777233E-03
-4.788000000000000E+00,1.926536054734620E-01,-1.865520100928600E-01,1.443051214239995E+01,2.999999999999858E-06,3.805956462919911E-04,3.891532496251082E-06,3.517284696416162E-03,4.412784873995265E-03
-4.914000000000000E+00,1.895325561222375E-01,-1.838872505774957E-01,1.443026635049815E+01,2.999999999999858E-06,3.927878132165508E-04,4.200590421698335E-06,3.483126138486457E-03,4.370321260237728E-03
-5.040000000000000E+00,1.861772197843215E-01,-1.809242286637953E-01,1.443005639631081E+01,2.999999999999858E-06,4.049799801411104E-04,4.509648347145587E-06,3.448967580556753E-03,4.327857646480192E-03
-5.166000000000000E+00,1.828218834464055E-01,-1.779612067500949E-01,1.442984644212347E+01,2.999999999999857E-06,4.192694564869886E-04,4.931677323956745E-06,3.394497591864606E-03,4.259818272874198E-03
-5.292000000000000E+00,1.791479706642445E-01,-1.746171812099006E-01,1.442967378828995E+01,2.999999999999857E-06,4.335589328328668E-04,5.353706300767901E-06,3.340027603172458E-03,4.191778899268204E-03
-5.418000000000000E+00,1.754740578820835E-01,-1.712731556697064E-01,1.442950113445643E+01,2.999999999999857E-06,4.506210321324325E-04,5.957593088007558E-06,3.259538727207086E-03,4.090981576136238E-03
-5.544000000000000E+00,1.713033641859273E-01,-1.673740211640913E-01,1.442936681743822E+01,2.999999999999857E-06,4.676831314319982E-04,6.561479875247214E-06,3.179049851241714E-03,3.990184253004273E-03
-5.670000000000000E+00,1.671326704897711E-01,-1.634748866584763E-01,1.442923250042001E+01,2.999999999999857E-06,4.873397858827741E-04,7.463817773204301E-06,3.057456928716306E-03,3.837686695186741E-03
-5.795999999999999E+00,1.622016923943211E-01,-1.587569130976926E-01,1.442914178154088E+01,2.999999999999858E-06,5.069964403335500E-04,8.366155671161387E-06,2.935864006190899E-03,3.685189137369209E-03
-5.922000000000000E+00,1.572707142988711E-01,-1.540389395369088E-01,1.442905106266176E+01,2.999999999999858E-06,5.277763483345332E-04,9.818968224860611E-06,2.745230898201910E-03,3.445901096178139E-03
-6.048000000000000E+00,1.508266228584452E-01,-1.477526058284201E-01,1.442901333063311E+01,2.999999999999858E-06,5.485562563355164E-04,1.127178077855984E-05,2.554597790212920E-03,3.206613054987068E-03
-6.173999999999999E+00,1.443825314180193E-01,-1.414662721199315E-01,1.442897559860448E+01,2.999999999999858E-06,5.485562563355164E-04,2.950302100628097E-05,1.473308920106505E-03,1.981962317224290E-03
-6.300000000000000E+00,1.443825314180193E-01,-1.414662721199315E-01,1.442897559860448E+01,2.999999999999858E-06,5.485562563355164E-04,4.773426123400210E-05,3.920200500000906E-04,7.573115794615125E-04
