"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
-3.402000000000000E+00,5.286887785003436E-02,-4.646132675293866E-02,2.551896448906983E+00,2.999999999999786E-06,1.566281937098687E-05,3.033405233390724E-08,7.938559177305084E-04,9.965173026128551E-04
-3.528000000000000E+00,5.211107586873462E-02,-4.606932446933063E-02,2.551799636740887E+00,2.999999999999787E-06,1.550655750639073E-05,2.968964083316316E-08,7.953513328259889E-04,9.984281515706449E-04
-3.654000000000000E+00,5.135327388743487E-02,-4.567732218572260E-02,2.551702824574791E+00,2.999999999999787E-06,1.544407611327010E-05,2.947993467153976E-08,7.946533337517521E-04,9.975554055745804E-04
-3.780000000000000E+00,5.061982335434165E-02,-4.526586297422774E-02,2.551605477240077E+00,2.999999999999786E-06,1.538159472014947E-05,2.927022850991635E-08,7.939553346775154E-04,9.966826595785160E-04
-3.906000000000000E+00,4.988637282124842E-02,-4.485440376273287E-02,2.551508129905363E+00,2.999999999999786E-06,1.543239703868937E-05,2.956065758143020E-08,7.910484757162288E-04,9.930048432378131E-04
-4.032000000000000E+00,4.916172569011569E-02,-4.441492188835029E-02,2.551412040641044E+00,2.999999999999786E-06,1.548319935722926E-05,2.985108665294405E-08,7.881416167549422E-04,9.893270268971101E-04
-4.157999999999999E+00,4.843707855898297E-02,-4.397544001396772E-02,2.551315951376725E+00,2.999999999999786E-06,1.566881632825171E-05,3.076177486447128E-08,7.827236526843906E-04,9.824631817308641E-04
-4.284000000000000E+00,4.770590815518662E-02,-4.349766491555283E-02,2.551222881378042E+00,2.999999999999786E-06,1.585443329927415E-05,3.167246307599851E-08,7.773056886138391E-04,9.755993365646184E-04
-4.410000000000000E+00,4.697473775139027E-02,-4.301988981713794E-02,2.551129811379359E+00,2.999999999999786E-06,1.620728586858131E-05,3.332050799840486E-08,7.716661877534368E-04,9.684407397268454E-04
-4.536000000000000E+00,4.621562086981953E-02,-4.248780668383636E-02,2.551040893686042E+00,2.999999999999786E-06,1.656013843788847E-05,3.496855292081121E-08,7.660266868930346E-04,9.612821428890726E-04
-4.662000000000000E+00,4.545650398824878E-02,-4.195572355053478E-02,2.550951975992725E+00,2.999999999999786E-06,1.708155458414337E-05,3.741549637582045E-08,7.613732793112097E-04,9.553487951291138E-04
-4.788000000000000E+00,4.466006470502085E-02,-4.136027447204715E-02,2.550870110405044E+00,2.999999999999786E-06,1.760297073039827E-05,3.986243983082968E-08,7.567198717293848E-04,9.494154473691550E-04
